state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,lat,lng,population
Arkansas,5003,Ashley County,5548,2125,7926,3423,0.699974767,0.268104971,0.431869796,33.1912,-91.7685,20270
Arkansas,5005,Baxter County,15836,4635,21007,11201,0.753843957,0.220640739,0.533203218,36.2872,-92.337,41427
Arkansas,5007,Benton County,73965,42249,119912,31716,0.61682734,0.352333378,0.264493962,36.3387,-94.2561,265759
Arkansas,5009,Boone County,13652,3064,17114,10588,0.797709478,0.179034708,0.618674769,36.3086,-93.0915,37331
Arkansas,5011,Bradley County,2335,1214,3654,1121,0.639025725,0.332238643,0.306787083,33.4664,-92.1624,10874
Arkansas,5013,Calhoun County,1636,479,2182,1157,0.749770852,0.219523373,0.530247479,33.558,-92.503,5192
Arkansas,5015,Carroll County,7424,4023,11797,3401,0.629312537,0.341018903,0.288293634,36.341,-93.5382,27965
Arkansas,5017,Chicot County,1752,2260,4103,-508,0.427004631,0.550816476,-0.123811845,33.2672,-91.294,10615
Arkansas,5019,Clark County,4616,3438,8395,1178,0.549851102,0.409529482,0.14032162,34.051,-93.1764,22386
Arkansas,5021,Clay County,4086,962,5183,3124,0.788346517,0.185606791,0.602739726,36.3683,-90.4175,14889
Arkansas,5023,Cleburne County,10328,1988,12680,8340,0.814511041,0.156782334,0.657728707,35.5381,-92.0267,25100
Arkansas,5025,Cleveland County,2867,651,3600,2216,0.796388889,0.180833333,0.615555556,33.8984,-92.1852,8128
Arkansas,5027,Columbia County,5500,2814,8616,2686,0.638347261,0.326601671,0.31174559,33.2143,-93.2273,23776
Arkansas,5029,Conway County,5694,2615,8685,3079,0.655613126,0.30109384,0.354519286,35.2622,-92.7013,20858
Arkansas,5031,Craighead County,25558,11921,38511,13637,0.66365454,0.309547921,0.354106619,35.8308,-90.6328,107345
Arkansas,5033,Crawford County,18607,4959,24091,13648,0.772363123,0.205844506,0.566518617,35.5885,-94.2429,62739
Arkansas,5035,Crittenden County,7333,8514,16367,-1181,0.448035682,0.520193071,-0.07215739,35.2079,-90.3089,48672
Arkansas,5037,Cross County,4946,1772,6942,3174,0.712474791,0.255257851,0.45721694,35.2957,-90.7712,16824
Arkansas,5039,Dallas County,1573,963,2649,610,0.593808985,0.363533409,0.230275576,33.9698,-92.6544,7279
Arkansas,5041,Desha County,1921,2016,4164,-95,0.461335255,0.484149856,-0.022814601,33.8333,-91.254,11709
Arkansas,5043,Drew County,4349,2426,6908,1923,0.629559931,0.35118703,0.278372901,33.5895,-91.72,18417
Arkansas,5045,Faulkner County,34421,18347,54428,16074,0.632413464,0.337087528,0.295325935,35.147,-92.332,123624
Arkansas,5047,Franklin County,5677,1300,7129,4377,0.79632487,0.182353766,0.613971104,35.5123,-93.8906,17738
Arkansas,5049,Fulton County,3961,1035,5119,2926,0.773783942,0.202187927,0.571596015,36.3817,-91.8182,12231
Arkansas,5051,Garland County,29069,14045,44199,15024,0.657684563,0.31776737,0.339917193,34.5767,-93.1504,98555
Arkansas,5053,Grant County,6794,1268,8200,5526,0.828536585,0.154634146,0.673902439,34.29,-92.4236,18126
Arkansas,5055,Greene County,12670,3058,16100,9612,0.786956522,0.189937888,0.597018634,36.1176,-90.559,44937
Arkansas,5057,Hempstead County,4470,2138,6848,2332,0.652745327,0.312207944,0.340537383,33.7353,-93.6685,21842
Arkansas,5059,Hot Spring County,9202,3082,12557,6120,0.732818348,0.24544079,0.487377558,34.3176,-92.946,33597
Arkansas,5061,Howard County,3367,1340,4834,2027,0.696524617,0.277203144,0.419321473,34.0888,-93.9935,13311
Arkansas,5063,Independence County,11250,2806,14512,8444,0.775220507,0.193357222,0.581863286,35.7415,-91.5697,37427
Arkansas,5065,Izard County,4631,1021,5810,3610,0.79707401,0.175731497,0.621342513,36.0949,-91.9134,13570
Arkansas,5067,Jackson County,3593,1365,5091,2228,0.705755254,0.268120212,0.437635042,35.5992,-91.2145,17027
Arkansas,5069,Jefferson County,9521,14981,25158,-5460,0.378448207,0.595476588,-0.217028381,34.2688,-91.9315,69282
Arkansas,5071,Johnson County,6938,2283,9498,4655,0.730469573,0.240366393,0.49010318,35.5701,-93.4599,26372
Arkansas,5073,Lafayette County,1757,839,2679,918,0.655841732,0.313176558,0.342665174,33.2409,-93.6071,6800
Arkansas,5075,Lawrence County,4569,1080,5857,3489,0.780092197,0.184394741,0.595697456,36.0412,-91.1071,16549
