"State","Consumers","Bronze","Silver","Gold","Year"
"Idaho"," 94,430 "," 43,601 "," 41,603 "," 8,452 ","2019"
"Illinois"," 312,280 "," 122,834 "," 157,157 "," 31,066 ","2019"
"Indiana"," 148,404 "," 36,422 "," 105,603 "," 6,379 ","2019"
"Kansas"," 89,993 "," 22,473 "," 42,927 "," 23,941 ","2019"
"Kentucky"," 84,620 "," 32,776 "," 45,427 "," 5,443 ","2019"
"Louisiana"," 92,948 "," 28,163 "," 58,081 "," 6,410 ","2019"
"Massachusetts"," 301,879 "," 31,108 "," 258,177 "," 9,391 ","2019"
"Maryland"," 156,963 "," 33,529 "," 74,536 "," 43,675 ","2019"
"Maine"," 70,987 "," 35,673 "," 32,575 "," 1,774 ","2019"
"Michigan"," 274,058 "," 116,929 "," 141,243 "," 12,733 ","2019"
"Minnesota"," 113,552 "," 59,367 "," 36,272 "," 15,878 ","2019"
"Missouri"," 220,461 "," 59,594 "," 157,213 "," 3,029 ","2019"
"Mississippi"," 88,542 "," 3,013 "," 85,057 "," 472 ","2019"
"Montana"," 45,374 "," 28,559 "," 14,203 "," 2,237 ","2019"
"North Carolina"," 501,271 "," 129,378 "," 319,178 "," 44,846 ","2019"
"North Dakota"," 21,820 "," 7,740 "," 9,641 "," 4,017 ","2019"
"Nebraska"," 87,416 "," 25,537 "," 35,262 "," 25,948 ","2019"
"New Hampshire"," 44,581 "," 16,505 "," 24,844 "," 2,213 ","2019"
"New Jersey"," 255,246 "," 62,335 "," 185,797 "," 4,588 ","2019"
"New Mexico"," 45,001 "," 15,652 "," 14,996 "," 14,272 ","2019"
"Nevada"," 83,449 "," 30,558 "," 48,593 "," 3,909 ","2019"
"New York"," 271,873 "," 104,881 "," 101,558 "," 35,751 ","2019"
"Ohio"," 206,871 "," 93,245 "," 100,430 "," 10,523 ","2019"
"Oklahoma"," 150,759 "," 38,791 "," 86,103 "," 25,325 ","2019"
"Oregon"," 148,180 "," 58,266 "," 73,821 "," 15,320 ","2019"
"Pennsylvania"," 365,888 "," 81,447 "," 206,704 "," 75,201 ","2019"
"Rhode Island"," 34,533 "," 7,678 "," 17,383 "," 9,472 ","2019"
"South Carolina"," 214,956 "," 77,509 "," 121,373 "," 14,082 ","2019"
